,id,publishedAt,channelId,title,channelTitle,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,favoriteCount,commentCount
0,ZYto1r8VRFo,2024-11-03T13:40:06Z,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Lễ Hội 2024 - Tập 70: Chú Sáu thể hiện đam mê, Quang Hùng MasterD cosplay muôn thú",ĐÔNG TÂY PROMOTION OFFICIAL,"['dong tay promotion', 'đông tây promotion', 'htv']",24,none,vi,vi,7032528,102077,0,6178
1,tF8nTlXTsRQ,2024-11-02T19:18:58Z,UChG2EWuXoW7Tgof35WjbsnQ,BLG vs T1 (BO5) | CKTG 2024 - Chung Kết | 02.11.2024,LoL Esports VN,,24,none,,en,5496718,70086,0,822
2,o9Do7swtdow,2024-11-02T14:00:06Z,UC2Lgi2uPsOcCVF3imz7l2mg,"Rap Việt 2024 Tập 7: Team Karik lan toả sức nóng cùng đội hình thiện chiến, ai sẽ là winner?",Vie GIẢITRÍ,"['vie giai tri', 'giai tri tv', 'rapper', 'underground', 'the rapper', 'rapper việt', 'suboi', 'big daddy', 'rap việt full', 'rap việt tập 7', 'rap việt 2024', 'rap viet 2024', 'Rap Việt 2024', 'rap việt 2024 mới nhất', 'rap viet tap 7', 'tập 7 rap việt 2024', 'tap 7 rap viet 2024', 'rap việt mới nhất', 'rap viet mua 4', 'thai vg', 'karik', 'rap việt mùa 4 tập 7', 'hieuthuhai', 'hieuthuhai rap việt', 'vòng đối đầu', 'rap việt 2024 tập 7', 'team karik', 'manbo', 'tiêu minh phụng', 'mason nguyen', 'vòng đối đầu team karik', 'nón vàng']",10,none,,vi,4653812,103707,0,7560
3,krJbgklRtec,2024-10-27T13:40:06Z,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Lễ Hội 2024 - Tập 69: Dương Lâm tự tin “đá sân nhà”, Kiều Minh Tuấn “nâng giá” cười mồi",ĐÔNG TÂY PROMOTION OFFICIAL,"['dong tay promotion', 'đông tây promotion', 'tvshow', 'gameshow', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', 'trường giang', 'kiều minh tuấn', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'duong lam', '2 ngày 1 đêm full', 'HIEUTHUHAI', 'hai ngày một đêm', '2n1d', '2 ngày 1 đêm mùa 3 tập 69', '2 ngày 1 đêm mùa 3 tập 19', '2 ngày 1 đêm tập 69', '2 ngày 1 đêm mùa lễ hội 2024', 'quang hùng masterd', 'jsol', '2 ngay 1 dem lễ hội', '2 ngay 1 đêm lễ hội 2024', 'bts 2 ngày 1 đêm']",24,none,vi,vi,10350195,150833,0,7719
4,-jvfnm40wO4,2024-11-01T19:09:28Z,UC960cXgEv6mCZ5iGnWSd0oQ,Players vs Pitch 🤯,LE FOOT EN VIDÉO,,17,none,fr,en,59670357,1210974,0,357
5,1iGAHj5HsDA,2024-11-01T10:30:00Z,UCBv1YLGOXCBnWcr_6oUPjWA,"Người lái chiếc Volkswagen này thật tốt bụng, vì nếu không tốt bụng thì .. #sieuxe #shorts",Martini Official,"['xe', 'siêu xe', 'ô tô', 'supercar', 'racing', 'tốc độ', 'phương tiện', 'martini', 'martini asphalt', 'martini official', 'hypercar', 'volkswagen', 'buồn cười', 'hài hước', 'meme', 'tốt bụng', 'lái volkswagen', 'vũng nước', 'tránh vũng nước', 'short', 'shorts']",2,none,,vi,3754442,46451,0,275
6,H1FXyJBxIe8,2024-10-26T11:00:15Z,UCyxyKnTGbP3N5kNim4kUNGQ,家里的东西越扔越少了...#電車 #車文化 #跑車,极速多多,,22,none,,zh,15718567,380979,0,142
7,guHnmL-Giyo,2024-10-25T13:00:54Z,UC7qTEluetD2pDB7lUBBlKuw,Perfect Pitch Challenge? Easy! 🎤😎| Free Fire Official,Garena Free Fire Global,"['free fire', 'free fire official', 'free fire battle royale', 'english', 'garena free fire', 'freefire']",20,none,,en,61931093,1134125,0,3407
8,Tnhk24VIaBQ,2024-11-03T00:00:25Z,UCvIBdvu7jGcuA_hH7EQPYdA,The Singing Challenge #joker #Harriet Quinn,佐助与鸣人,"['佐助与鸣人', '火影忍者', '鸣人', '小樱', '卡卡西', '佐助', '斗罗大陆', '唐舞桐', '小舞', '唐三', '兄弟搞怪', '日常生活', '现代演绎', '动漫角色扮演', '正能量', '友情故事', '搞笑视频', '快乐分享', '动漫文化', '忍者世界', '搞笑剧情', '日常趣事', '角色深度', '精彩瞬间', '忍者冒险', '火影粉丝', '角色分析', '幕后花絮', '创意演绎', '爆笑场面']",23,none,zh,zh,11326904,176584,0,474
9,_fppodA-C9k,2024-10-30T12:45:03Z,UCJgA0QBZF7-5sWiFjGUxsrw,amazing#devil #lilith #funny #shorts,Devil Lilith,,22,none,,,18305418,315355,0,781
